predicate,precision,recall,f1,mpr_var,mpr_span,mfr_var,mfr_span,,diff_var,diff_span,,→non-balanced dataset
in_front_of,1.00,1.00,1.00,0.12,1.02,0.46,2.00,yuanfei,-0.34,-0.98,,
in_same_lane,1.00,1.00,1.00,0.10,1.11,0.02,0.62,yuanfei,0.08,0.49,,
keeps_safe_distance_prec,1.00,1.00,1.00,0.11,1.03,0.46,2.00,yuanfei,-0.36,-0.97,,
brakes_abruptly,1.00,1.00,1.00,0.00,0.83,0.00,0.43,yuanfei,0.00,0.40,,
brakes_abruptly_relative,1.00,1.00,1.00,0.00,0.97,0.00,0.59,yuanfei,0.00,0.38,,
single_lane,1.00,1.00,1.00,0.06,1.08,0.00,0.19,yuanfei,0.06,0.89,,
keeps_lane_speed_limit,1.00,1.00,1.00,0.10,1.26,0.16,1.24,yuanfei,-0.06,0.02,,
keeps_type_speed_limit,1.00,1.00,1.00,0.19,1.27,0.20,1.26,yuanfei,-0.01,0.01,,
keeps_brake_speed_limit,1.00,1.00,1.00,0.00,0.00,0.00,0.00,yuanfei,0.00,0.00,,
keeps_fov_speed_limit,1.00,1.00,1.00,0.00,0.00,0.00,0.00,yuanfei,0.00,0.00,,
keeps_lane_speed_limit_star,1.00,1.00,1.00,0.13,1.33,0.01,0.86,,0.12,0.48,,
preserves_traffic_flow,1.00,1.00,1.00,0.12,1.14,0.01,0.86,yuanfei ,0.11,0.29,,
slow_as_leading_vehicle,1.00,1.00,1.00,0.00,1.01,0.01,0.86,,0.00,0.15,,
in_standstill,1.00,1.00,1.00,0.00,0.00,0.01,0.90,vel ,-0.01,-0.90,,
drives_faster,1.00,1.00,1.00,0.05,1.04,0.01,0.87,,0.04,0.17,,
drives_with_slightly_higher_speed,1.00,1.00,1.00,0.04,1.16,0.00,0.50,,0.03,0.66,,
right_of_broad_lane_marking,1.00,1.00,1.00,0.00,0.00,0.00,0.00,no data,0.00,0.00,,
left_of_broad_lane_marking,1.00,1.00,1.00,0.00,0.00,0.00,0.00,no data,0.00,0.00,,
on_access_ramp,1.00,1.00,1.00,0.00,0.00,0.00,0.00,no data,0.00,0.00,,
on_main_carriage_way,1.00,1.00,1.00,0.01,0.73,0.00,0.26,,0.01,0.47,,
makes_u_turn,1.00,1.00,1.00,0.00,0.00,0.00,0.02,limited data,0.00,-0.02,,
reverses,1.00,1.00,1.00,0.00,0.00,0.01,0.90,vel ,-0.01,-0.90,,
interstate_broad_enough,1.00,1.00,1.00,0.00,0.00,0.01,0.32,const data,-0.01,-0.32,,
on_shoulder,1.00,1.00,1.00,0.00,0.82,0.01,1.04,limited data,-0.01,-0.22,,
in_leftmost_lane,1.00,1.00,1.00,0.08,1.02,0.02,0.55,,0.06,0.47,,
in_rightmost_lane,1.00,1.00,1.00,0.09,0.99,0.02,0.58,,0.07,0.41,,
main_carriageway_right_lane,1.00,1.00,1.00,0.09,0.98,0.02,0.58,,0.07,0.40,,
velocity_below_2,1.00,1.00,1.00,0.00,0.00,0.01,0.90,vel ,-0.01,-0.90,,
velocity_below_5,1.00,1.00,1.00,0.00,2.00,0.01,0.90,,-0.01,1.10,,
velocity_below_15,1.00,1.00,1.00,0.00,2.00,0.01,0.90,,0.00,1.10,,
velocity_below_20,1.00,1.00,1.00,0.01,1.92,0.01,0.90,,0.00,1.02,,
has_congestion_velocity,1.00,1.00,1.00,0.00,2.00,0.01,0.90,,-0.01,1.10,,
has_slow_moving_velocity,1.00,1.00,1.00,0.00,0.78,0.01,0.90,vel ,-0.01,-0.12,,
has_queue_velocity,1.00,1.00,1.00,0.01,1.20,0.01,0.90,,0.00,0.30,,
close_to_left_bound,1.00,1.00,1.00,0.00,0.63,0.00,0.11,,0.00,0.51,,
close_to_right_bound,1.00,1.00,1.00,0.01,0.79,0.00,0.12,,0.01,0.68,,
lat_left_of,0.99,1.00,1.00,0.09,1.03,0.04,0.97,,0.04,0.06,,
heading_right,0.95,1.00,0.98,0.03,1.01,0.00,0.03,,0.03,0.98,,
lat_left_of_vehicle,1.00,1.00,1.00,0.08,1.06,0.04,0.97,,0.04,0.09,,
rear_behind_front,1.00,1.00,1.00,0.14,1.03,0.46,2.00,,-0.32,-0.97,,check!!
lat_close_to_vehicle_left,1.00,1.00,1.00,0.03,1.46,0.02,0.61,,0.01,0.85,,
lat_close_to_vehicle_right,1.00,1.00,1.00,0.04,1.54,0.02,0.59,,0.02,0.95,,
slow_leading_vehicle,1.00,1.00,1.00,0.00,1.04,0.14,1.26,meta,-0.13,-0.22,,
exist_standing_leading_vehicle,1.00,1.00,1.00,0.00,0.00,0.07,1.00,meta,-0.07,-1.00,,
in_congestion,1.00,1.00,1.00,0.00,0.26,0.01,1.01,meta,-0.01,-0.75,,
in_slow_moving_traffic,1.00,1.00,1.00,0.00,1.09,0.01,1.08,meta,-0.01,0.01,,
in_queue_of_vehicles,1.00,1.00,1.00,0.00,1.15,0.01,1.12,meta,-0.01,0.02,,
precedes,1.00,1.00,1.00,0.07,1.00,0.14,1.24,meta,-0.07,-0.24,,
drives_leftmost,0.62,1.00,0.76,0.00,0.92,0.00,0.11,meta,0.00,0.81,,
drives_rightmost,0.69,1.00,0.82,0.01,1.06,0.00,0.12,meta,0.01,0.94,,
cut_in,1.00,1.00,1.00,0.00,0.37,0.01,0.36,meta,0.00,0.01,,
left_of,1.00,1.00,1.00,0.02,1.74,0.11,1.04,meta,-0.09,0.70,,
