predicate,TP,FP,FN,TN,size,mse,precision,recall,f1_score,ratio_large_std,span_train,span_test,span_pred,span_mfr,std_train,std_test,std_pred,std_mfr,mean_train,mean_test,mean_pred,mean_mfr,comment,iter,bins,,
brakes_abruptly_relative,0,0,19,69,88,0.28,1.00,0.00,0.00,1.00,1.86,1.90,0.00,0.50,0.53,0.53,0.00,0.12,-0.37,-0.38,-0.37,-0.14,!,100,3,-0.50,-0.12
lat_close_to_vehicle_left,0,0,46,80,126,0.62,1.00,0.00,0.00,1.00,2.00,2.00,0.00,0.52,0.78,0.78,0.00,0.10,-0.31,-0.30,-0.31,-0.07,!,100,3,-0.52,-0.10
lat_close_to_vehicle_right,0,0,47,77,124,0.63,1.00,0.00,0.00,1.00,2.00,2.00,0.00,0.52,0.79,0.80,0.00,0.11,-0.30,-0.31,-0.30,-0.06,!,100,3,-0.52,-0.11
keeps_brake_speed_limit,67,0,0,0,67,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,?,100,3,0.01,0.00
keeps_fov_speed_limit,67,0,0,0,67,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,?,100,3,0.01,0.00
in_standstill,0,0,0,67,67,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.10,0.00,0.00,0.00,-0.38,?,100,3,-0.49,-0.10
right_of_broad_lane_marking,0,0,0,67,67,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,?,100,3,0.00,0.00
left_of_broad_lane_marking,0,0,0,67,67,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,?,100,3,0.00,0.00
on_access_ramp,0,0,0,67,67,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,?,100,3,0.00,0.00
makes_u_turn,0,0,0,67,67,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.50,?,100,3,-0.01,0.00
reverses,0,0,0,67,67,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.10,0.00,0.00,0.00,-0.38,?,100,3,-0.49,-0.10
interstate_broad_enough,67,0,0,0,67,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.01,0.22,0.00,0.00,0.00,0.04,1.00,1.00,1.00,0.38,?,100,3,-0.21,-0.04
velocity_below_2,0,0,0,67,67,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.01,0.49,0.00,0.00,0.00,0.10,-1.00,-1.00,-1.00,-0.37,?,100,3,-0.48,-0.10
velocity_below_5,0,0,0,67,67,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.01,0.49,0.00,0.00,0.00,0.10,-1.00,-1.00,-1.00,-0.36,?,100,3,-0.48,-0.10
velocity_below_15,0,0,0,68,68,0.00,1.00,1.00,1.00,0.00,0.09,0.09,0.00,0.57,0.01,0.01,0.00,0.12,-1.00,-1.00,-1.00,-0.30,?,100,3,-0.57,-0.12
velocity_below_20,0,0,0,69,69,0.00,1.00,1.00,1.00,0.00,0.29,0.22,0.03,0.47,0.02,0.03,0.00,0.11,-1.00,-0.99,-1.00,-0.31,?,100,3,-0.45,-0.11
has_congestion_velocity,0,0,0,67,67,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.01,0.49,0.00,0.00,0.00,0.10,-1.00,-1.00,-1.00,-0.34,?,100,3,-0.48,-0.10
in_front_of,1948,0,9,1948,3905,0.02,1.00,1.00,1.00,1.00,2.00,2.00,2.35,2.00,1.00,1.00,0.95,0.65,0.00,0.00,0.01,-0.02,fine,100,3,0.35,0.29
in_same_lane,1422,1,10,1432,2865,0.05,1.00,0.99,1.00,1.00,2.00,2.00,2.19,0.54,0.85,0.85,0.75,0.14,0.04,0.04,0.05,0.00,fine,100,3,1.65,0.62
keeps_safe_distance_prec,1864,0,10,1865,3739,0.03,1.00,0.99,1.00,1.00,2.00,2.00,2.38,2.00,0.98,0.98,0.92,0.66,-0.01,-0.01,-0.01,-0.03,fine,100,3,0.38,0.27
brakes_abruptly,10,0,1,69,80,0.01,1.00,0.91,0.95,0.26,1.94,1.57,1.56,0.43,0.44,0.42,0.37,0.09,-0.47,-0.47,-0.49,-0.16,fine,100,3,1.14,0.28
single_lane,204,0,2,116,322,0.02,1.00,0.99,1.00,0.99,1.84,1.82,1.88,0.16,0.61,0.60,0.57,0.03,0.00,0.00,0.02,0.01,fine,100,3,1.71,0.54
keeps_lane_speed_limit,315,3,1,312,631,0.06,0.99,1.00,0.99,1.00,2.00,2.00,2.87,1.24,0.97,0.97,0.93,0.27,0.02,0.02,0.03,0.11,fine,100,3,1.64,0.66
keeps_type_speed_limit,432,12,2,423,869,0.05,0.97,1.00,0.98,1.00,2.00,2.00,2.61,1.25,0.97,0.97,0.94,0.51,0.03,0.02,0.04,0.44,fine,100,3,1.37,0.43
keeps_lane_speed_limit_star,386,2,1,375,764,0.05,0.99,1.00,1.00,1.00,2.00,2.00,3.25,0.64,0.96,0.96,0.95,0.11,0.02,0.02,0.02,0.04,fine,100,3,2.61,0.84
preserves_traffic_flow,322,1,0,320,643,0.03,1.00,1.00,1.00,1.00,2.00,2.00,2.29,0.56,0.99,0.99,0.96,0.13,0.01,0.00,0.01,0.05,fine,100,3,1.73,0.82
