predicate,p+min,p+max,p-min,p-max
in_front_of,0.0263157894736842,1,0,0.973684210526316
in_same_lane,0.30112897985705,1,0,0.972607690083839
keeps_safe_distance_prec,0.0607476635514018,1,0,0.947368421052632
brakes_abruptly,0.134273592477927,0.514058324619496,0,0.849550380447314
brakes_abruptly_relative,0.116209946353487,0.564488143435512,0,0.857620474982707
single_lane,0.052935807727411,0.887440549586049,0.00921052631578945,0.693859901989046
keeps_lane_speed_limit,0.0263157894736842,1,0,0.973684210526316
keeps_type_speed_limit,0.0263157894736842,1,0,0.973684210526316
keeps_lane_speed_limit_star,0.0263157894736842,1,0,0.973684210526316
preserves_traffic_flow,0.0282588878760255,1,0,0.94411316648531
slow_as_leading_vehicle,0.0526315789473684,1,0,0.973684210526316
velocity_below_15,0.0263157894736842,1,0,0.763157894736842
velocity_below_20,0.157894736842105,1,0,0.973684210526316
has_congestion_velocity,0.0263157894736842,1,0,0.947368421052632
has_slow_moving_velocity,0.0557584486394732,1,0,0.973684210526316
drives_faster,0.0263157894736842,1,0,0.973684210526316
drives_with_slightly_higher_speed,0.0263157894736842,1,0,0.973684210526316
on_shoulder,0.575752670767239,0.936532234324404,0,0.927441435959842
in_leftmost_lane,0.404819370912488,0.994710044303379,0,0.783404217614744
in_rightmost_lane,0.447409031838856,1,0,0.74281697566119
main_carriageway_right_lane,0.447409031838856,1,0,0.74281697566119
has_queue_velocity,0.029029793735676,1,0,0.969732301091316
close_to_left_bound,0.240168018778569,0.619663051003923,0,0.514032244306065
close_to_right_bound,0.223445514825472,0.60465211015154,0,0.524204028589993
lat_left_of,0.0263157894736842,1,0,0.973684210526316
heading_right,0.0263157894736842,1,0,0.973684210526316
lat_left_of_vehicle,0.0266134397870924,1,0,0.973684210526316
rear_behind_front,0.0263157894736842,1,0,0.973684210526316
lat_close_to_vehicle_left,0.0263157894736842,1,0,0.973684210526316
lat_close_to_vehicle_right,0.0263157894736842,1,0,0.973684210526316
slow_leading_vehicle,0.0789473684210526,1,0,0.920061099796334
exist_standing_leading_vehicle,0.966898378020523,0.976947198915162,0,0.331238342389101
in_congestion,0.0263157894736842,1,0,0.72471447074061
in_slow_moving_traffic,0.0554392016754958,1,0,0.881862930708065
in_queue_of_vehicles,0.0278721278721278,1,0,0.972344437460717
precedes,0.0263157894736842,1,0,0.945744211244432
drives_leftmost,0.194221967963387,1,0,0.971242446320662
drives_rightmost,0.0270179980790913,1,0,0.973684210526316
cut_in,0.0263157894736842,0.961383704034872,0,0.912696463654224
left_of,0.0263157894736842,1,0,0.973684210526316
velocity_below_5,0.0526315789473684,1,0,0.921052631578947
velocity_below_five,0.0526315789473684,1,0,0.921052631578947
